Table 1
,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
1,2020,SE,FT,Machine Learning Engineer,150000,USD,150000,US,50,US,L
2,2020,EN,FT,Data Analyst,72000,USD,72000,US,100,US,L
3,2020,SE,FT,Lead Data Scientist,190000,USD,190000,US,100,US,S
4,2020,MI,FT,Business Data Analyst,135000,USD,135000,US,100,US,L
5,2020,MI,FT,Lead Data Analyst,87000,USD,87000,US,100,US,L
6,2020,MI,FT,Data Analyst,85000,USD,85000,US,100,US,L
7,2020,MI,FT,Lead Data Engineer,56000,USD,56000,PT,100,US,M
8,2020,MI,FT,BI Data Analyst,98000,USD,98000,US,0,US,M
9,2020,EX,FT,Director of Data Science,325000,USD,325000,US,100,US,L
10,2020,EN,CT,Business Data Analyst,100000,USD,100000,US,100,US,L
11,2020,SE,FT,Machine Learning Manager,157000,CAD,117104,CA,50,CA,L
12,2020,EN,FT,Big Data Engineer,70000,USD,70000,US,100,US,L
13,2020,SE,FT,Data Scientist,60000,EUR,68428,GR,100,US,L
14,2020,MI,FT,Research Scientist,450000,USD,450000,US,0,US,M
15,2020,MI,FT,Data Science Consultant,103000,USD,103000,US,100,US,L
16,2020,EN,FT,Machine Learning Engineer,250000,USD,250000,US,50,US,L
17,2020,EN,FT,Machine Learning Engineer,138000,USD,138000,US,100,US,S
18,2020,MI,FT,Data Scientist,45760,USD,45760,PH,100,US,S
19,2020,MI,FT,Data Engineer,106000,USD,106000,US,100,US,L
20,2020,SE,FT,Data Engineer,188000,USD,188000,US,100,US,L
21,2020,MI,FT,Data Scientist,105000,USD,105000,US,100,US,L
22,2020,EN,FT,Data Analyst,91000,USD,91000,US,100,US,L
23,2020,SE,FL,Computer Vision Engineer,60000,USD,60000,RU,100,US,S
24,2020,MI,FT,Data Scientist,118000,USD,118000,US,100,US,M
25,2020,SE,FT,Data Scientist,120000,USD,120000,US,50,US,L
26,2020,MI,FT,Data Scientist,138350,USD,138350,US,100,US,M
27,2020,MI,FT,Data Engineer,110000,USD,110000,US,100,US,L
28,2020,MI,FT,Data Engineer,130800,USD,130800,ES,100,US,M
29,2020,SE,FT,Data Scientist,412000,USD,412000,US,100,US,L
30,2020,SE,FT,Data Science Manager,190200,USD,190200,US,100,US,M
31,2020,EN,FT,Data Scientist,105000,USD,105000,US,100,US,S
32,2021,EX,FT,BI Data Analyst,150000,USD,150000,IN,100,US,L
33,2021,EX,FT,Head of Data,235000,USD,235000,US,100,US,L
34,2021,MI,FT,BI Data Analyst,100000,USD,100000,US,100,US,M
35,2021,MI,CT,ML Engineer,270000,USD,270000,US,100,US,L
36,2021,EN,FT,Data Analyst,80000,USD,80000,US,100,US,M
37,2021,MI,FT,Data Engineer,140000,USD,140000,US,100,US,L
38,2021,MI,FT,Applied Data Scientist,68000,CAD,54238,GB,50,CA,L
39,2021,MI,FT,Data Analytics Engineer,110000,USD,110000,US,100,US,L
40,2021,SE,FT,Lead Data Analyst,170000,USD,170000,US,100,US,L
41,2021,SE,FT,Data Analyst,80000,USD,80000,BG,100,US,S
42,2021,SE,FT,Lead Data Engineer,276000,USD,276000,US,0,US,L
43,2021,EN,PT,AI Scientist,12000,USD,12000,BR,100,US,S
44,2021,MI,FT,Financial Data Analyst,450000,USD,450000,US,100,US,L
45,2021,EN,FT,Computer Vision Software Engineer,70000,USD,70000,US,100,US,M
46,2021,MI,FT,Computer Vision Software Engineer,81000,EUR,95746,DE,100,US,S
47,2021,MI,FT,Data Analyst,75000,USD,75000,US,0,US,L
48,2021,SE,FT,Data Engineer,150000,USD,150000,US,100,US,L
49,2021,MI,FT,BI Data Analyst,11000000,HUF,36259,HU,50,US,L
50,2021,MI,FT,Data Analyst,62000,USD,62000,US,0,US,L
51,2021,MI,FT,Data Scientist,73000,USD,73000,US,0,US,L
52,2021,MI,FT,Research Scientist,235000,CAD,187442,CA,100,CA,L
53,2021,SE,FT,Data Engineer,115000,USD,115000,US,100,US,S
54,2021,SE,FT,Data Engineer,150000,USD,150000,US,100,US,M
55,2021,EN,PT,AI Scientist,12000,USD,12000,PK,100,US,M
56,2021,EN,FT,Machine Learning Scientist,225000,USD,225000,US,100,US,L
57,2021,EN,FT,Data Analyst,90000,USD,90000,US,100,US,S
58,2021,MI,FT,Data Engineer,200000,USD,200000,US,100,US,L
59,2021,SE,FT,Principal Data Engineer,200000,USD,200000,US,100,US,M
60,2021,EN,FT,Data Analyst,50000,USD,50000,US,100,US,M
61,2021,MI,FT,Principal Data Scientist,151000,USD,151000,US,100,US,L
62,2021,SE,FT,Machine Learning Scientist,120000,USD,120000,US,50,US,S
63,2021,MI,FT,Applied Machine Learning Scientist,38400,USD,38400,VN,100,US,M
64,2021,EN,FT,Data Scientist,100000,USD,100000,US,0,US,S
65,2021,MI,FT,Data Analyst,90000,USD,90000,US,100,US,M
66,2021,SE,FT,Principal Data Scientist,220000,USD,220000,US,0,US,L
67,2021,EN,FT,Data Scientist,80000,USD,80000,US,100,US,M
68,2021,MI,FT,Data Analyst,135000,USD,135000,US,100,US,L
69,2021,SE,FT,Data Science Manager,240000,USD,240000,US,0,US,L
70,2021,SE,FT,Data Engineering Manager,150000,USD,150000,US,0,US,L
71,2021,MI,FT,Data Scientist,82500,USD,82500,US,100,US,S
72,2021,MI,FT,Data Engineer,100000,USD,100000,US,100,US,L
73,2021,MI,FT,Data Engineer,90000,USD,90000,US,100,US,L
74,2021,SE,FT,Data Engineering Manager,153000,USD,153000,US,100,US,L
75,2021,SE,FT,Cloud Data Engineer,160000,USD,160000,BR,100,US,S
76,2021,MI,FT,Data Scientist,150000,USD,150000,US,100,US,M
77,2021,MI,FT,Data Scientist,95000,CAD,75774,CA,100,CA,L
78,2021,SE,FT,Data Science Manager,144000,USD,144000,US,100,US,L
79,2021,SE,FT,Data Science Engineer,159500,CAD,127221,CA,50,CA,L
80,2021,MI,FT,Applied Machine Learning Scientist,423000,USD,423000,US,50,US,L
81,2021,SE,FT,Data Analytics Manager,120000,USD,120000,US,100,US,M
82,2021,EN,FT,Machine Learning Engineer,125000,USD,125000,US,100,US,S
83,2021,SE,FT,Data Specialist,165000,USD,165000,US,100,US,L
84,2021,EN,FT,Data Engineer,80000,USD,80000,US,100,US,L
85,2021,EX,FT,Director of Data Science,250000,USD,250000,US,0,US,L
86,2021,EN,FT,BI Data Analyst,55000,USD,55000,US,50,US,S
87,2021,MI,FT,Data Architect,150000,USD,150000,US,100,US,L
88,2021,MI,FT,Data Architect,170000,USD,170000,US,100,US,L
89,2021,EN,FT,Data Analyst,60000,USD,60000,US,100,US,S
90,2021,SE,FT,Principal Data Scientist,235000,USD,235000,US,100,US,L
91,2021,SE,FT,Data Engineering Manager,174000,USD,174000,US,100,US,L
92,2021,EN,FT,Machine Learning Engineer,81000,USD,81000,US,50,US,S
93,2021,MI,FT,Data Scientist,420000,INR,5679,IN,100,US,S
94,2021,MI,FT,Data Engineer,22000,EUR,26005,RO,0,US,L
95,2021,SE,FT,Data Science Manager,174000,USD,174000,US,100,US,L
96,2021,SE,FT,Research Scientist,120500,CAD,96113,CA,50,CA,L
97,2021,MI,FT,Data Scientist,147000,USD,147000,US,50,US,L
98,2021,SE,FT,Data Science Manager,4000000,INR,54094,IN,50,US,L
99,2021,EN,FT,Data Science Consultant,90000,USD,90000,US,100,US,S
100,2021,SE,FT,Machine Learning Infrastructure Engineer,195000,USD,195000,US,100,US,M
101,2021,SE,FT,Research Scientist,50000,USD,50000,FR,100,US,S
102,2021,MI,FT,Data Scientist,160000,USD,160000,US,100,US,L
103,2021,SE,FT,Machine Learning Engineer,200000,USD,200000,US,100,US,L
104,2021,SE,FT,Data Engineer,165000,USD,165000,US,0,US,M
105,2021,MI,FL,Data Engineer,20000,USD,20000,IT,0,US,L
106,2021,SE,FT,Data Analytics Manager,120000,USD,120000,US,0,US,L
107,2021,SE,FT,Principal Data Engineer,185000,USD,185000,US,100,US,L
108,2021,SE,FT,Data Analytics Manager,140000,USD,140000,US,100,US,L
109,2021,SE,FT,Machine Learning Scientist,225000,USD,225000,US,100,CA,L
110,2021,EX,CT,Principal Data Scientist,416000,USD,416000,US,100,US,S
111,2021,SE,FT,Data Scientist,110000,CAD,87738,CA,100,CA,S
